name,K1022N1_GN1_mean_score,K1030N1_GN1_mean_score,K1040N1_GN1_mean_score,K1063N1_GN1_mean_score,K1065N1_GN1_mean_score,K1013T2_GB1_mean_score,K1030T1_GB1_mean_score,K1030T2_GB1_mean_score,K1030T3_GB1_mean_score,K1063T1_GB1_mean_score,K1063T2_GB1_mean_score,K1184T1_GA1_mean_score,K1040T1_GB1_mean_score,K1022T1_GB1_mean_score
FOSL2::JUND,0.22295,0.28956,0.41996,0.22263,0.25758,0.27346,0.1657,0.23655,0.24909,0.17545,0.13325,0.11981,0.22098,0.17042
ZNF524,0.14324,0.14367,0.20069,0.12653,0.14515,0.23332,0.16395,0.21675,0.20999,0.13417,0.13307,0.0738,0.22017,0.16767
FOSB::JUNB,0.22194,0.28881,0.41778,0.22147,0.25625,0.27168,0.1648,0.23431,0.24692,0.17413,0.13223,0.11854,0.21925,0.17388
FOSL2::JUN,0.22393,0.2922,0.421,0.22357,0.25934,0.27447,0.16707,0.23725,0.25002,0.17579,0.13433,0.1201,0.21904,0.17579
ZBED2,0.17074,0.18595,0.22801,0.15127,0.17175,0.2487,0.17606,0.22631,0.23122,0.15507,0.15357,0.07948,0.21893,0.16278
PRDM9,0.14233,0.1615,0.21536,0.13163,0.14796,0.24655,0.16057,0.22263,0.23278,0.13522,0.13126,0.07985,0.21868,0.16396
FOS::JUNB,0.22186,0.28819,0.41804,0.22146,0.25613,0.27278,0.16499,0.2348,0.24746,0.1748,0.13268,0.11886,0.21837,0.17232
JUN::JUNB,0.16828,0.18148,0.25377,0.15196,0.17927,0.2922,0.16764,0.20095,0.23726,0.15509,0.13891,0.09376,0.218,0.16339
ZNF76,0.15504,0.17937,0.22524,0.14201,0.16121,0.251,0.16585,0.20265,0.24183,0.14369,0.13289,0.08183,0.21762,0.16564
CREB3L1,0.17046,0.18727,0.24636,0.15294,0.17328,0.25889,0.16392,0.20937,0.23464,0.14658,0.13523,0.08459,0.21671,0.15787
FOSL2::JUNB,0.22164,0.28827,0.41816,0.22147,0.25646,0.27206,0.16477,0.2347,0.24745,0.17453,0.13242,0.11919,0.21649,0.16868
BACH1,0.21502,0.28191,0.4053,0.21461,0.2496,0.26691,0.16138,0.22824,0.24112,0.17013,0.13013,0.11535,0.21628,0.15601
ERF,0.21048,0.23389,0.27374,0.18975,0.21279,0.33358,0.21793,0.25801,0.31975,0.19978,0.1919,0.11489,0.21582,0.17865
MLXIPL,0.18447,0.18464,0.24015,0.15854,0.17394,0.26036,0.16248,0.24001,0.25666,0.14878,0.14495,0.08931,0.21565,0.16959
Tfcp2l1,0.16119,0.18162,0.24121,0.14217,0.16265,0.24305,0.16184,0.19841,0.23751,0.13408,0.12279,0.07463,0.21565,0.16959
Creb5,0.16553,0.17566,0.24893,0.14805,0.17732,0.29176,0.16238,0.19451,0.23083,0.15409,0.13752,0.09282,0.21565,0.16959
RFX7,0.15621,0.16305,0.21489,0.13313,0.14593,0.23589,0.16189,0.17974,0.23389,0.14237,0.12191,0.06651,0.21565,0.16959
HOXA9,0.17369,0.18325,0.2302,0.143,0.16707,0.22602,0.15508,0.19107,0.22286,0.14593,0.12946,0.07099,0.21557,0.17125
ELK1::HOXB13,0.17307,0.19228,0.23555,0.14859,0.16799,0.25242,0.16277,0.19332,0.24201,0.1507,0.13603,0.08061,0.21556,0.16818
TFAP2C,0.16761,0.17438,0.24245,0.1526,0.16594,0.22889,0.15687,0.20842,0.22197,0.1303,0.12596,0.07986,0.21471,0.15491
FOSL1::JUN,0.21455,0.28145,0.40629,0.2147,0.2496,0.26726,0.16144,0.22783,0.24056,0.17105,0.13064,0.11586,0.214,0.16219
RFX5,0.14635,0.15107,0.2026,0.12235,0.13106,0.23568,0.15208,0.16007,0.22774,0.13793,0.11175,0.06077,0.21398,0.15403
MTF1,0.15389,0.16924,0.22356,0.13438,0.15233,0.23124,0.15816,0.18868,0.22367,0.1331,0.12086,0.07061,0.21369,0.15503
MLX,0.18559,0.18908,0.24268,0.15991,0.17826,0.26539,0.16425,0.23727,0.25867,0.15177,0.14521,0.08976,0.21335,0.15822
ZBTB24,0.15083,0.16872,0.22709,0.13833,0.15715,0.24556,0.16457,0.21594,0.23341,0.13522,0.13071,0.07947,0.212,0.17167
Mlxip,0.17599,0.18049,0.23558,0.15312,0.16905,0.25421,0.16148,0.23156,0.25214,0.1453,0.13963,0.08538,0.21197,0.16279
ZNF701,0.14088,0.16252,0.21245,0.12947,0.14708,0.24256,0.15862,0.21519,0.23125,0.1333,0.12768,0.07607,0.21175,0.14977
FOSL2::JUND,0.16057,0.17291,0.2449,0.14428,0.17275,0.28458,0.16012,0.19035,0.22558,0.15141,0.13416,0.08908,0.21137,0.15971
ZNF257,0.13934,0.15992,0.21086,0.12843,0.14557,0.22799,0.15012,0.19906,0.21702,0.12528,0.11902,0.07332,0.20979,0.16111
Thap11,0.14824,0.17291,0.21448,0.13332,0.15061,0.23155,0.15413,0.18093,0.23242,0.13471,0.11904,0.07234,0.20971,0.15698
FOS,0.21213,0.27859,0.40066,0.21108,0.24584,0.26394,0.15892,0.22471,0.23675,0.16748,0.12771,0.11261,0.20938,0.1492
MNT,0.17599,0.18049,0.23558,0.15312,0.16905,0.25421,0.16148,0.23156,0.25214,0.1453,0.13963,0.08538,0.2091,0.15629
FOSL2::JUN,0.15982,0.17305,0.24542,0.14404,0.17224,0.28621,0.16032,0.18932,0.22594,0.15002,0.13359,0.08912,0.2091,0.1543
