"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"IGF2",5.64594286638234e-16,3.03526645471751,0.333,0.156,9.77990223314748e-12
"PLA2G12A",5.99857920033981e-16,-0.544868152800176,0.301,0.581,1.03907388908286e-11
"DGKD",6.07278892822774e-16,1.70336009456336,0.626,0.507,1.05192849814761e-11
"MED25",6.13022725310744e-16,-0.628733737872512,0.389,0.688,1.06187796478327e-11
"USP8",6.23547408095712e-16,-0.547980043861547,0.608,0.892,1.08010882030339e-11
"EIF3A",6.45846884517151e-16,-0.520823772272428,0.767,0.966,1.11873597336061e-11
"TNFRSF10C",6.59719373156122e-16,-1.4996537457132,0.067,0.256,1.14276589818103e-11
"ARMC3",6.64816099250741e-16,-1.08606705749776,0.203,0.455,1.15159444712213e-11
"CLCN5",6.67468832529093e-16,-1.06006816448795,0.291,0.577,1.15618951170689e-11
"CEP104",6.76479120675135e-16,-0.632571484231793,0.3,0.58,1.17179713283347e-11
"TTC6",6.83290922964014e-16,2.76238286271243,0.346,0.102,1.18359653675827e-11
"DRC3",6.92792039760512e-16,-1.28987873660778,0.11,0.338,1.20005437127316e-11
"MB21D2",6.98253875487856e-16,-0.5630080010072,0.37,0.636,1.20951536312006e-11
"GRIPAP1",7.1580332761047e-16,-0.540461885094151,0.367,0.61,1.23991452408686e-11
"FPGS",7.61056644345552e-16,-0.611885929871267,0.243,0.509,1.31830231933536e-11
"LRIG1",7.75281835603284e-16,2.44267965535573,0.478,0.301,1.34294319563201e-11
"IER3",7.8382697580569e-16,-0.612114039189589,0.476,0.767,1.35774508749062e-11
"CHST9",7.95162804247056e-16,1.83431844591475,0.59,0.45,1.37738100951675e-11
"PDK3",7.98855847103397e-16,2.09984305220855,0.373,0.199,1.38377809835250e-11
"KCTD12",8.08248527743801e-16,-0.878159149230072,0.212,0.434,1.40004809975781e-11
"GTF3C5",8.58700967745811e-16,-1.08405407286487,0.258,0.52,1.48744181632929e-11
"C5AR1",8.78576805006232e-16,-1.06582784330002,0.226,0.429,1.5218707416318e-11
"LRIG3",8.9737013515889e-16,2.28623950915429,0.402,0.204,1.55442454812223e-11
"RFTN1",9.03007521648839e-16,-0.659164074381434,0.34,0.633,1.56418962900012e-11
"ZNF503",9.17352714054559e-16,-0.990462355608471,0.108,0.304,1.58903837128531e-11
"POU5F1",9.27452531465347e-16,1.5550726157303,0.661,0.538,1.60653327500427e-11
"DVL1",9.3756513582633e-16,-0.995542830944664,0.172,0.415,1.62405032827837e-11
"RECK",9.45789023155125e-16,2.39014731657483,0.35,0.142,1.63829574590931e-11
"HLTF",9.46397060527444e-16,1.37373491342684,0.525,0.446,1.63934898824564e-11
"SMOX",9.65853411448651e-16,-0.567436562260895,0.404,0.659,1.67305127931135e-11
"RBM15B",9.72960815139587e-16,-0.951741362037865,0.213,0.527,1.68536272398479e-11
"POLDIP3",9.93733002967303e-16,-0.695352500941952,0.345,0.636,1.72134430773996e-11
"BAG6",1.0357260045919e-15,-0.578016975385872,0.429,0.715,1.79408458515408e-11
"EMC3",1.08277614391424e-15,-0.846640155217132,0.294,0.576,1.87558483648824e-11
"ANO6",1.08751530655739e-15,0.647797275898922,0.846,0.924,1.88379401401872e-11
"GPR108",1.09594818500109e-15,-1.25332253068276,0.131,0.386,1.89840144605888e-11
