"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MRPL32",1.32873797354103e-15,0.879947138507656,0.253,0.071,2.30163991776778e-11
"DECR1",1.33174260974351e-15,0.543622079018505,0.536,0.254,2.3068445485977e-11
"CCL28",1.33758214138237e-15,1.89885576040277,0.313,0.117,2.31695978530254e-11
"MAP2K2",1.34583327347287e-15,0.602782589060883,0.318,0.132,2.33125239630971e-11
"ATIC",1.35020983326644e-15,0.605988346191158,0.455,0.219,2.33883347318412e-11
"YLPM1",1.35915298793185e-15,0.837943616973587,0.71,0.376,2.35432480569554e-11
"ABO",1.39251968594694e-15,1.85385621367859,0.282,0.083,2.41212259999729e-11
"C2CD2",1.40563668658586e-15,0.885516125551059,0.383,0.141,2.43484386850402e-11
"NEDD9",1.40948487040257e-15,-0.985379094630889,0.641,0.748,2.44150969251133e-11
"ENPP3",1.41830152208034e-15,-0.885261405841893,0.519,0.778,2.45678189654757e-11
"SPIRE1",1.42158062259891e-15,0.902932050429745,0.828,0.644,2.46246195446584e-11
"BORCS5",1.42237558558131e-15,0.698736056791608,0.413,0.161,2.46383898934395e-11
"SNX24",1.53137437484178e-15,0.685572997576662,0.682,0.435,2.65264669210094e-11
"NDUFA4",1.57328083491089e-15,1.27899876284919,0.343,0.112,2.72523706223264e-11
"VTI1B",1.57867643012224e-15,0.56401743531709,0.367,0.144,2.73458331225774e-11
"ADRM1",1.60497941964811e-15,0.571883002564153,0.315,0.12,2.78014535071446e-11
"PKD1",1.62879335097703e-15,0.807300609245944,0.426,0.157,2.82139584256242e-11
"FNTB",1.69773623227979e-15,1.02211851856065,0.376,0.138,2.94081870155505e-11
"MAPK1IP1L",1.72735150305581e-15,0.667752045583745,0.551,0.26,2.99211827359327e-11
"NDUFAF5",1.73043110721378e-15,0.850672240121524,0.408,0.152,2.99745276391572e-11
"SMCHD1",1.75364928794309e-15,0.887369712043396,0.767,0.57,3.03767129657502e-11
"ERMP1",1.83764208797611e-15,0.744003749030267,0.413,0.181,3.18316362479223e-11
"BRCC3",1.87331581103266e-15,0.856682035663867,0.447,0.209,3.24495764787078e-11
"PITPNM2",1.8869092636358e-15,0.820450869853295,0.571,0.268,3.26850422646993e-11
"COBL",1.94214432496624e-15,-2.04651161869299,0.206,0.409,3.36418239970652e-11
"MAPT",1.94562734525861e-15,-1.16329396720386,0.201,0.414,3.37021568745696e-11
"SPINDOC",1.95032305745346e-15,0.589450358222706,0.262,0.084,3.37834960012089e-11
"YTHDF3",1.9639617658699e-15,0.625580178707015,0.674,0.392,3.40197457083984e-11
"SLC22A18",2.01062199364288e-15,1.06398253046661,0.256,0.069,3.4827994173882e-11
"CDRT4",2.03232974828259e-15,1.13310693359897,0.338,0.108,3.5204015899751e-11
"SOCS4",2.06629374450949e-15,0.812176466608758,0.38,0.139,3.57923402423934e-11
"TET3",2.14265573947769e-15,0.622193586996071,0.608,0.295,3.71150827192325e-11
"MAP4",2.14374812486679e-15,0.627013466471907,0.846,0.665,3.71340050189425e-11
"DIDO1",2.25072537029452e-15,0.607490785037293,0.744,0.491,3.89870648642417e-11
"IKBKB",2.27019448041008e-15,0.727155887748577,0.514,0.249,3.93243087896634e-11
"POLR1C",2.32837493466628e-15,0.69883846886634,0.389,0.162,4.03321106182893e-11
