"","x"
"1246","FKBP7"
"1247","OSBPL6"
"1248","SLC1A3"
"1249","XRCC5"
"1250","LXN"
"1251","SP140"
"1252","MKNK1"
"1253","TNS1"
"1254","REXO1"
"1255","SAR1A"
"1256","CDC14A"
"1257","RAPGEF3"
"1258","CEACAM1"
"1259","SENP1"
"1260","CIC"
"1261","LIPE"
"1262","FDFT1"
"1263","PAFAH1B3"
"1264","OPHN1"
"1265","KIF22"
"1266","CARMIL1"
"1267","PGM1"
"1268","DDX1"
"1269","DNM2"
"1270","EPB41L2"
"1271","RIMS1"
"1272","MOXD1"
"1273","STX7"
"1274","RABL2B"
"1275","KEAP1"
"1276","DDX43"
"1277","PTPRH"
"1278","SLC35C2"
"1279","CRYBG3"
"1280","EPHA6"
"1281","SCTR"
"1282","RFX3"
"1283","RIF1"
"1284","RAB21"
"1285","SLC4A4"
"1286","SMARCA2"
"1287","SESN1"
"1288","MID2"
"1289","SRCAP"
"1290","PUM3"
"1291","CNOT4"
"1292","PSEN1"
"1293","CPOX"
"1294","CLDND1"
"1295","MOK"
"1296","HSP90AA1"
"1297","RBL1"
"1298","DLGAP4"
"1299","IGSF9B"
"1300","NDC80"
"1301","AP4E1"
"1302","RSBN1"
"1303","MAGI3"
"1304","CXCL2"
"1305","AFP"
"1306","COL4A4"
"1307","TCF7"
"1308","OSTM1"
"1309","CDH7"
"1310","IMPG2"
"1311","PCNP"
"1312","EXD2"
"1313","ARG2"
"1314","MEF2C"
"1315","PKP1"
"1316","UBA5"
"1317","STK17B"
"1318","CDC14B"
"1319","ZNF510"
"1320","LRP2"
"1321","ZNF506"
"1322","JMJD4"
"1323","DUSP12"
"1324","AACS"
"1325","DELE1"
"1326","CADPS2"
"1327","PHLPP1"
"1328","ATP8B1"
"1329","IL12RB2"
"1330","SMARCD3"
"1331","WDR70"
"1332","FYB1"
"1333","MPP4"
"1334","STRADB"
"1335","BZW1"
"1336","C1QTNF3"
"1337","ME2"
"1338","C5orf22"
"1339","CCNT2"
"1340","FAM135A"
"1341","COL19A1"
"1342","EPB41L3"
"1343","COBLL1"
"1344","DLG3"
"1345","KCNK2"
"1346","SERTAD4"
"1347","TRAF5"
"1348","MRPL22"
"1349","GEMIN5"
"1350","NFE2L1"
"1351","SEMA5B"
"1352","GSK3B"
"1353","ITGB5"
"1354","ERC1"
"1355","XPO1"
"1356","RNF13"
"1357","TRPM3"
"1358","PALB2"
"1359","DOP1A"
"1360","LYRM2"
"1361","BCKDHB"
"1362","KAT6A"
"1363","TUT7"
"1364","ULK2"
"1365","GRHL2"
"1366","TNPO1"
"1367","PLOD1"
"1368","ITGAE"
"1369","DIS3"
"1370","PIBF1"
"1371","TDRD3"
"1372","NUFIP1"
"1373","PDS5B"
"1374","OXCT1"
"1375","RRAGB"
"1376","CYLD"
"1377","SLC27A5"
