"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FOCAD",5.65253759192425e-219,-1.1628179724941,0.438,0.63,9.79132561673119e-215
"MECOM",7.01328373265835e-219,-1.17132071171278,0.389,0.578,1.21484100817108e-214
"ANKS6",1.51020267826704e-218,-1.45748876280406,0.197,0.408,2.61597307929417e-214
"IARS1",2.38613268879948e-218,0.64871191568616,0.836,0.719,4.13325904353846e-214
"STK40",6.76773201301384e-218,0.840546411859408,0.658,0.497,1.17230653929426e-213
"SLC9B2",2.61935857063153e-217,-1.67936233209111,0.098,0.271,4.53725291604793e-213
"NTPCR",3.07663762286382e-217,-1.26808464119603,0.249,0.464,5.32935169032472e-213
"E2F5",4.21655719644965e-217,-1.15244854377941,0.235,0.452,7.30392037569009e-213
"SPRY4",8.90765588523874e-217,1.70416207375897,0.41,0.219,1.54298415244105e-212
"RNF149",1.85699734769623e-216,0.748610481543918,0.709,0.574,3.21669080567941e-212
"FGF2",2.34410920459391e-216,-1.26521245120026,0.417,0.607,4.06046596419757e-212
"KIF5B",3.4052862826016e-216,0.555019287792057,0.869,0.719,5.8986368987225e-212
"YME1L1",3.64555828644926e-216,0.56962721958779,0.832,0.694,6.31483606378741e-212
"CFH",5.33189459628649e-216,-0.846046934292863,0.392,0.607,9.23590781968746e-212
"PLOD1",6.73787157984917e-216,-1.17353285443866,0.27,0.488,1.16713411506147e-211
"IGF2BP3",1.08289832295121e-215,-0.901940431757137,0.669,0.725,1.87579647501609e-211
"KAT6B",2.0917767184237e-215,0.570827672056112,0.798,0.627,3.62337563165353e-211
"NUP98",6.35947693108997e-215,0.501709860798209,0.871,0.735,1.1015885940034e-210
"IFNAR1",7.99980909079945e-215,0.753604496819202,0.618,0.446,1.38572693070828e-210
"MYEF2",1.07953704407989e-214,0.593142547236955,0.785,0.637,1.86997406775518e-210
"L2HGDH",1.74584765547028e-214,-1.70570630362134,0.117,0.294,3.02415730880562e-210
"ANKRD36C",2.33509408545256e-214,0.631703891321856,0.799,0.693,4.04484997482093e-210
"TRAF5",3.9707437282202e-214,-1.2227912455205,0.208,0.42,6.87812228602304e-210
"KCNJ16",4.30124816384646e-214,1.08209075716699,0.575,0.355,7.45062206941484e-210
"CDIP1",9.58966425375792e-214,-1.20464988548503,0.139,0.333,1.66112164203595e-209
"TGFB1",9.69594973901898e-214,0.804882948490148,0.655,0.497,1.67953241379287e-209
"SMC3",1.28322335411399e-213,0.773349042034182,0.717,0.561,2.22279949399625e-209
"SHOC2",1.68045895585114e-213,0.621743500833892,0.769,0.621,2.91089100332534e-209
"WASF2",2.45968343065919e-213,0.707499879774853,0.768,0.621,4.26066363858785e-209
"FAT4",5.01198046489959e-213,-1.14574763208209,0.312,0.534,8.68175256129906e-209
"TBC1D2B",7.57580777057119e-213,-1.45435946732123,0.196,0.4,1.31228142201834e-208
"ARSJ",1.15672490592693e-212,-1.07664574065298,0.451,0.651,2.00367888204662e-208
"APOL2",1.18054766051877e-212,1.22199751857812,0.525,0.354,2.04494465755061e-208
"STARD4",2.22255335031679e-212,0.820779341856337,0.716,0.571,3.84990691341874e-208
"RUFY2",7.81447177181432e-212,0.724405132528094,0.675,0.536,1.35362280031368e-207
"ADAM12",8.55781086381562e-212,0.981775243483723,0.79,0.635,1.48238399783014e-207
"RAB27B",1.1099627106419e-211,-2.00476354643662,0.1,0.264,1.92267740737389e-207
"DNAJC21",4.4570392019329e-211,0.877930409738317,0.661,0.497,7.72048330558817e-207
"WDR36",5.30630026655811e-211,0.751187373476293,0.71,0.55,9.19157332173196e-207
"ZFP36L1",9.03426657585518e-211,0.822803915810837,0.758,0.616,1.56491565626963e-206
"PLIN2",2.06132711014359e-210,-1.52367295156392,0.192,0.39,3.57063082019072e-206
"PHLDB1",3.07107923452532e-210,0.669220986676211,0.661,0.452,5.31972345004476e-206
"ARPP19",3.54738423296142e-210,0.581176323257883,0.788,0.603,6.14477896833577e-206
"CNTNAP3B",1.02810903235525e-209,0.758360961102247,0.713,0.555,1.78089046584577e-205
"TAOK3",1.12977495962096e-209,-1.12619770751879,0.387,0.585,1.95699618505543e-205
