"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"BCAM",3.76061246928327e-80,-3.95503879342077,0.056,0.656,6.51413291929249e-76
"CD24",8.1575748403708e-80,-1.63102934172388,0.699,0.967,1.41305511384903e-75
"ADAM12",1.56244133721369e-79,3.87476352817323,0.79,0.325,2.70646088432155e-75
"SERPINA1",1.75237250193149e-79,-3.79398387937736,0.065,0.69,3.03545964784572e-75
"SGIP1",2.60555554723373e-79,-4.29015470414237,0.115,0.689,4.51334331891827e-75
"VAV3",2.77444643422928e-79,-2.40131049099392,0.407,0.936,4.80589611337196e-75
"LGALS3",3.72895267019732e-79,-2.79265950085712,0.205,0.79,6.45929181531581e-75
"PLCB4",4.34790765286577e-79,-2.2782657095856,0.703,0.983,7.53144563629408e-75
"MAP7",7.5872675952565e-79,-1.78136151741827,0.439,0.938,1.31426649285033e-74
"EPHA4",1.13339692440792e-78,-3.49515236349301,0.122,0.712,1.96327015245941e-74
"L3MBTL4",1.35793945444149e-78,4.51185212817583,0.636,0.072,2.35222272298356e-74
"HOXB3",1.5137907013399e-78,-2.64511375317619,0.268,0.879,2.62218825286098e-74
"PLPP3",1.73921209028092e-78,-2.66758793577926,0.182,0.77,3.01266318278461e-74
"PTK2B",2.76885694568784e-78,-3.22874036800752,0.137,0.761,4.79621400132048e-74
"SHROOM2",3.39171428032134e-78,-4.85899116710984,0.021,0.553,5.87512747637263e-74
"COBLL1",5.55680424258814e-78,-1.79746042741406,0.635,0.996,9.62549630901117e-74
"ANO6",6.01058836758729e-78,1.49913344022917,0.959,0.924,1.04115411703347e-73
"PITPNC1",8.96753337815911e-78,-1.82398884911244,0.58,0.964,1.55335613176472e-73
"DMGDH",1.1081155900593e-77,-4.66279799495693,0.036,0.58,1.91947782510072e-73
"RFTN1",1.44047470782329e-77,-3.8643745455097,0.069,0.633,2.49519028889151e-73
"AFAP1L2",1.48803737022291e-77,-3.89542454954044,0.056,0.64,2.57757833270012e-73
"NAV1",2.93181271417915e-77,3.76766726579273,0.83,0.552,5.07848598350112e-73
"COBL",4.37956379537016e-77,-2.30755120386635,0.299,0.838,7.58628040634019e-73
