name,K1030_GE5_CTRL_mean_score,K1030_GE5_mean_score,K1030_GE5_CTRL_K1030_GE5_change,K1030_GE5_CTRL_K1030_GE5_pvalue,K1030_GE5_CTRL_K1030_GE5_highlighted
ETV2::HOXB13,0.15749,0.19837,-0.10238,4.92028E-110,FALSE
ETV3,0.36156,0.40687,-0.09528,1.92311E-100,FALSE
ETV4,0.4538,0.49035,-0.02081,4.58171E-47,FALSE
ETV5,0.50516,0.53588,0.03292,1.98291E-52,FALSE
ETV5::DRGX,0.15569,0.20397,-0.13535,1.02481E-127,FALSE
ETV5::FIGLA,0.23428,0.2596,0.028,6.42592E-79,FALSE
ETV5::FOXI1,0.1695,0.21469,-0.09147,2.21668E-124,FALSE
ETV5::FOXO1,0.15516,0.19832,-0.07886,3.88506E-121,FALSE
ETV5::HOXA2,0.16632,0.21592,-0.14067,1.26188E-121,FALSE
HOXA2,0.08883,0.1375,-0.254,4.00062E-161,FALSE
ETV6,0.32016,0.36411,-0.07002,5.47999E-100,FALSE
EVX1,0.08883,0.1375,-0.254,4.00062E-161,FALSE
EVX2,0.08883,0.1375,-0.254,4.00062E-161,FALSE
FEV,0.42856,0.4698,-0.0594,9.95902E-82,FALSE
FLI1,0.37055,0.42043,-0.13409,7.18227E-123,FALSE
FLI1::DRGX,0.17623,0.2313,-0.16616,1.97943E-129,FALSE
FLI1::FOXI1,0.14555,0.19668,-0.15017,3.37620E-149,FALSE
FOS,0.23473,0.3311,-0.30368,7.80196E-195,TRUE
FOS,0.251,0.30159,-0.17393,2.54991E-131,FALSE
FOS::JUN,0.23993,0.33942,-0.32063,6.68180E-193,TRUE
FOS::JUN,0.23521,0.28648,-0.18455,1.84472E-131,FALSE
FOS::JUNB,0.23895,0.33899,-0.3239,3.02928E-199,TRUE
JUNB,0.27884,0.3295,-0.15061,4.06047E-125,FALSE
JUNB,0.23936,0.33863,-0.31689,6.84213E-190,TRUE
FOS::JUND,0.23733,0.33604,-0.32136,3.92709E-198,TRUE
JUND,0.17635,0.23038,-0.1931,7.31311E-151,FALSE
JUND,0.23551,0.33403,-0.32105,7.66019E-195,TRUE
FOSB::JUNB,0.23812,0.33756,-0.32171,3.20332E-190,TRUE
FOSL1,0.23694,0.33523,-0.31637,3.10378E-190,TRUE
FOSL1::JUN,0.23496,0.3329,-0.32005,2.20909E-199,TRUE
FOSL1::JUNB,0.22863,0.32576,-0.32819,4.94537E-195,TRUE
FOSL1::JUND,0.23138,0.32835,-0.32374,5.21288E-196,TRUE
FOSL1::JUND,0.2326,0.2853,-0.1782,4.23371E-137,FALSE
FOSL2,0.22707,0.31964,-0.29561,8.02142E-193,TRUE
FOSL2::JUN,0.24391,0.34449,-0.32161,2.91208E-196,TRUE
FOSL2::JUN,0.23173,0.28659,-0.20984,5.54030E-143,FALSE
FOSL2::JUNB,0.23895,0.33899,-0.3239,3.02928E-199,TRUE
FOSL2::JUNB,0.24437,0.29697,-0.20483,5.24115E-135,FALSE
FOSL2::JUND,0.24037,0.3407,-0.32391,1.00556E-193,TRUE
FOSL2::JUND,0.23288,0.28512,-0.19283,1.15107E-132,FALSE
FOXA1,0.12805,0.16835,-0.09696,1.50406E-120,FALSE
FOXA2,0.12653,0.16702,-0.09645,5.94070E-119,FALSE
FOXA3,0.14576,0.18463,-0.05465,5.61926E-90,FALSE
FOXC2,0.10407,0.14257,-0.11806,4.35376E-138,FALSE
FOXD1,0.14576,0.18463,-0.05465,5.61926E-90,FALSE
FOXD2,0.10319,0.14264,-0.13015,1.00683E-152,FALSE
FOXD3,0.09478,0.13335,-0.155,5.30680E-160,FALSE
FOXE1,0.09942,0.13591,-0.10793,1.82259E-150,FALSE
FOXF2,0.12475,0.1639,-0.09578,5.93469E-124,FALSE
FOXH1,0.11441,0.15548,-0.11873,4.41295E-128,FALSE
FOXJ2::ELF1,0.16118,0.2135,-0.17279,1.32561E-154,FALSE
PITX1,0.11378,0.15315,-0.14711,2.20702E-154,FALSE
FOXK1,0.14576,0.18463,-0.05465,5.61926E-90,FALSE
FOXK2,0.14576,0.18463,-0.05465,5.61926E-90,FALSE
FOXO1::ELF1,0.14315,0.19406,-0.14467,5.28130E-157,FALSE
FOXO1::ELK1,0.15442,0.20562,-0.14471,1.68374E-148,FALSE
FOXO1::ELK3,0.15289,0.20131,-0.12934,5.92859E-139,FALSE
FOXO1::FLI1,0.1369,0.1846,-0.13981,3.47328E-149,FALSE
FOXP1,0.14576,0.18463,-0.05465,5.61926E-90,FALSE
FOXP2,0.12516,0.16387,-0.07116,7.04111E-121,FALSE
GABPA,0.19096,0.2457,-0.14286,2.46737E-157,FALSE
GATA1,0.11884,0.16006,-0.11171,5.80319E-109,FALSE
GATA1::TAL1,0.12337,0.16626,-0.12787,2.13438E-128,FALSE
GATA2,0.11136,0.14907,-0.07372,2.18729E-90,FALSE
GATA4,0.11278,0.15021,-0.0765,3.99230E-109,FALSE
