name,K1040_GE1_CTRL_mean_score,K1040_GE1_mean_score,K1040_GE1_CTRL_K1040_GE1_change,K1040_GE1_CTRL_K1040_GE1_pvalue,K1040_GE1_CTRL_K1040_GE1_highlighted
E2F4,0.31807,0.32346,0.07578,4.25886E-75,FALSE
E2F6,0.31069,0.32836,-0.01939,1.05968E-62,FALSE
E2F8,0.35007,0.36661,0.01396,6.19355E-27,FALSE
EBF1,0.20903,0.2292,-0.04528,1.36136E-102,FALSE
EBF3,0.20996,0.22971,-0.04159,1.47813E-92,FALSE
EGR1,0.34342,0.36251,-0.02846,1.72302E-79,FALSE
EGR3,0.35152,0.36986,-0.01604,1.21092E-52,FALSE
EGR4,0.3181,0.33751,-0.0347,2.39137E-82,FALSE
EHF,0.22462,0.24781,-0.03853,9.98256E-96,FALSE
ELF1,0.22169,0.24571,-0.05677,3.06808E-116,FALSE
ELF2,0.31227,0.33741,-0.01452,5.04166E-40,FALSE
ELF3,0.21107,0.23343,-0.04044,8.37235E-104,FALSE
ELK1,0.44008,0.47515,-0.05484,2.30793E-87,FALSE
EOMES,0.1602,0.18785,-0.12647,1.48135E-127,FALSE
ETV7,0.29565,0.32257,-0.04262,5.35408E-87,FALSE
HOXA1,0.1275,0.14496,-0.01535,8.74968E-46,FALSE
ELK1::HOXB13,0.25577,0.27642,0.00544,5.53783E-05,FALSE
PAX1,0.24472,0.26187,0.04548,2.05742E-72,FALSE
PAX5,0.27659,0.30676,-0.07934,7.43486E-92,FALSE
PAX9,0.23995,0.25883,0.01623,1.38715E-38,FALSE
SPDEF,0.31081,0.33733,-0.03274,1.38198E-53,FALSE
ELK1::SREBF2,0.3271,0.35397,-0.05163,4.94837E-81,FALSE
SREBF2,0.24851,0.28168,-0.10297,1.98947E-96,FALSE
TEF,0.14791,0.15485,0.10927,2.45904E-99,TRUE
ELK3,0.49948,0.5349,-0.04059,7.26260E-69,FALSE
ELK4,0.36017,0.38961,-0.03636,1.70338E-71,FALSE
EMX1,0.1275,0.14496,-0.01535,8.74968E-46,FALSE
EMX2,0.1275,0.14496,-0.01535,8.74968E-46,FALSE
EN1,0.1275,0.14496,-0.01535,8.74968E-46,FALSE
EN2,0.16923,0.18352,0.03844,9.22319E-59,FALSE
ERF,0.33979,0.37082,-0.04847,2.55964E-78,FALSE
ERF::FIGLA,0.23553,0.25866,-0.05074,8.97783E-95,FALSE
FIGLA,0.16904,0.19681,-0.1491,2.06332E-174,TRUE
ERF::FOXI1,0.20081,0.22218,-0.02719,4.00602E-77,FALSE
ERF::FOXO1,0.18471,0.20456,-0.01841,8.18673E-61,FALSE
ERF::HOXB13,0.17443,0.19056,-0.0015,2.82877E-03,FALSE
MAX,0.25955,0.29154,-0.10652,2.16281E-115,FALSE
ERF::NHLH1,0.25995,0.2772,-0.00316,1.64949E-05,FALSE
NHLH1,0.22332,0.24046,-0.02152,2.09425E-66,FALSE
ERF::SREBF2,0.22223,0.24869,-0.07931,3.29828E-100,FALSE
ESR1,0.18106,0.20481,-0.08515,5.53623E-109,FALSE
ESRRA,0.16387,0.18493,-0.04917,2.12264E-96,FALSE
ESRRB,0.15707,0.17628,-0.03419,1.66548E-70,FALSE
ESX1,0.12741,0.14661,-0.0326,1.63613E-51,FALSE
ETS1,0.33459,0.36588,-0.0525,1.58612E-88,FALSE
ETS2,0.35102,0.38309,-0.06145,1.79702E-85,FALSE
ETV1,0.21324,0.23721,-0.04906,8.35104E-108,FALSE
ETV2,0.26412,0.28808,-0.02172,2.46360E-50,FALSE
ETV2::DRGX,0.17375,0.18697,0.03415,1.42690E-65,FALSE
ETV2::FIGLA,0.24364,0.26516,-0.04371,2.28234E-90,FALSE
ETV2::FOXI1,0.2055,0.2273,-0.02905,2.37217E-81,FALSE
ETV2::HOXB13,0.1882,0.20143,0.03893,5.61575E-63,FALSE
ETV3,0.35989,0.39219,-0.05643,1.87245E-86,FALSE
ETV4,0.44418,0.47888,-0.05245,9.21447E-75,FALSE
ETV5,0.48288,0.51864,-0.04597,1.47859E-67,FALSE
ETV5::DRGX,0.18649,0.20327,0.00511,9.97430E-11,FALSE
ETV5::FIGLA,0.23043,0.2518,-0.05283,5.72853E-105,FALSE
ETV5::FOXI1,0.19821,0.21838,-0.02062,2.99326E-61,FALSE
ETV5::FOXO1,0.18426,0.20395,-0.02001,3.90038E-59,FALSE
ETV5::HOXA2,0.19043,0.213,-0.04077,2.59602E-72,FALSE
HOXA2,0.1275,0.14496,-0.01535,8.74968E-46,FALSE
ETV6,0.3093,0.33601,-0.03985,1.10229E-82,FALSE
EVX1,0.1275,0.14496,-0.01535,8.74968E-46,FALSE
EVX2,0.1275,0.14496,-0.01535,8.74968E-46,FALSE
FEV,0.41761,0.45198,-0.05126,2.36837E-82,FALSE
FLI1,0.37562,0.40637,-0.03696,7.94380E-71,FALSE
FLI1::DRGX,0.2112,0.23127,-0.00225,3.91662E-03,FALSE
FLI1::FOXI1,0.18243,0.20206,-0.0159,4.05386E-59,FALSE
FOS,0.22724,0.31755,-0.47644,1.52903E-207,TRUE
FOS,0.24897,0.28159,-0.11704,2.30917E-110,FALSE
FOS::JUN,0.23717,0.33472,-0.51609,9.40711E-207,TRUE
FOS::JUN,0.2345,0.2668,-0.10144,1.01959E-103,FALSE
FOS::JUNB,0.23715,0.33437,-0.51497,2.51076E-209,TRUE
JUNB,0.26977,0.30362,-0.09806,1.00695E-101,FALSE
JUNB,0.2366,0.33349,-0.51201,2.16540E-212,TRUE
FOS::JUND,0.23586,0.33257,-0.51318,8.42965E-209,TRUE
JUND,0.19353,0.22237,-0.09248,7.05148E-115,FALSE
JUND,0.23393,0.32983,-0.50657,1.06730E-207,TRUE
FOSB::JUNB,0.23634,0.33339,-0.51702,4.67825E-211,TRUE
FOSL1,0.23454,0.33057,-0.50999,8.18901E-215,TRUE
FOSL1::JUN,0.23335,0.32949,-0.51351,3.42629E-208,TRUE
FOSL1::JUNB,0.23069,0.32559,-0.50805,1.99078E-210,TRUE
FOSL1::JUND,0.23052,0.32309,-0.48826,1.36062E-207,TRUE
FOSL1::JUND,0.22927,0.26497,-0.13021,2.84021E-124,FALSE
FOSL2,0.22312,0.30779,-0.44284,5.13726E-205,TRUE
FOSL2::JUN,0.24002,0.3395,-0.5255,4.69304E-208,TRUE
FOSL2::JUN,0.23538,0.26786,-0.0995,2.73429E-108,FALSE
FOSL2::JUNB,0.23665,0.33396,-0.51623,2.60899E-207,TRUE
FOSL2::JUNB,0.24432,0.27715,-0.09975,3.11925E-98,FALSE
FOSL2::JUND,0.23798,0.3359,-0.51725,1.36427E-204,TRUE
FOSL2::JUND,0.23419,0.2661,-0.09655,1.14342E-107,FALSE
FOXA1,0.16611,0.1813,0.03195,1.27379E-77,FALSE
FOXA2,0.16697,0.1809,0.04207,2.38761E-86,FALSE
FOXA3,0.1819,0.20184,-0.00871,3.32656E-24,FALSE
FOXC2,0.14393,0.15723,0.04076,1.58830E-104,FALSE
FOXD1,0.1545,0.1709,0.0077,4.28337E-36,FALSE
FOXD2,0.14612,0.15767,0.05238,1.78273E-109,FALSE
FOXD3,0.12984,0.14343,0.02186,1.79526E-75,FALSE
FOXE1,0.13719,0.15039,0.02469,7.71966E-83,FALSE
FOXF2,0.15616,0.17626,-0.01893,6.80505E-52,FALSE
FOXH1,0.15238,0.1656,0.02926,3.20621E-74,FALSE
FOXJ2::ELF1,0.19639,0.21606,-0.01192,4.42876E-45,FALSE
PITX1,0.13972,0.15249,-0.00074,4.70297E-01,FALSE
FOXK1,0.1819,0.20184,-0.00871,3.32656E-24,FALSE
FOXK2,0.1819,0.20184,-0.00871,3.32656E-24,FALSE
FOXO1::ELF1,0.18001,0.19886,-0.00807,3.18113E-38,FALSE
FOXO1::ELK1,0.18934,0.20934,-0.01934,1.50443E-64,FALSE
FOXO1::ELK3,0.18769,0.20626,-0.00557,2.77731E-15,FALSE
FOXO1::FLI1,0.17297,0.19058,-0.0062,3.53482E-24,FALSE
FOXP1,0.1819,0.20184,-0.00871,3.32656E-24,FALSE
FOXP2,0.15673,0.17524,-0.01359,4.71500E-50,FALSE
GABPA,0.21798,0.2422,-0.05427,8.28652E-112,FALSE
GATA1,0.14458,0.16374,-0.03337,2.63910E-58,FALSE
GATA1::TAL1,0.15276,0.17277,-0.05203,1.33395E-92,FALSE
GATA2,0.132,0.16812,-0.20204,4.57287E-137,TRUE
GATA4,0.13355,0.16643,-0.17055,6.77384E-133,TRUE
GATA5,0.13201,0.17037,-0.21149,5.55437E-140,TRUE
GATA6,0.12808,0.16405,-0.20754,4.98928E-142,TRUE
GBX1,0.12741,0.14661,-0.0326,1.63613E-51,FALSE
GBX2,0.14095,0.15282,0.04304,3.57233E-88,FALSE
GCM1,0.21951,0.23292,0.0073,2.89391E-14,FALSE
SOX2,0.17021,0.18931,-0.03228,2.66739E-56,FALSE
GCM2,0.19105,0.20827,-0.02983,3.14048E-56,FALSE
GFI1,0.17903,0.18998,0.05044,3.06756E-92,FALSE
GLI3,0.20664,0.22646,-0.06646,3.55364E-105,FALSE
