"","XP142M_TGc0","XP142T_TGc1","XP158T_TGc1","XP165T_TGc1","XP166T_TGc10","XP183M_TGc1","XP206M_TGc0","XP213T_TGc1","XP213T_TGc2","XP243T_TGc0","XP245T_TGc0","XP250T_TGc1","XP264T_TGc0","XP276T_TGc0","XP289T_TGc0","XP315Th_TGc0","XP315Th_TGc2","XP331Th_TGc0a","XP331Th_TGc0b","XP331Th_TGc1","XP369T_TGc0","XP389Th_TGc0","XP389Th_TGc2","XP394T_TGc0","XP434M_TGc0","XP469T_TGc1","XP469Th_TGc0","XP473Th_TGc0","XP473Th_TGc1","XP519T_TGc0a","XP519T_TGc0b","XP536T_TGc2","XP579T_TGc1","XP607Th_TGc1","XP685T_TGc0a","XP685T_TGc0b","XP700T_TGc1","XP700Th_TGc1","XP740T_TGc2","XP785T_TGc1","XP966T_TGc0","XP976Th_TGc1"
"HALLMARK_UV_RESPONSE_DN",-0.923734590800733,-0.407015490713377,-0.681506752419442,0.0574955296808104,-0.246444437036698,-1.11303890509272,2.02140613905976,0.128184071481174,-0.208029802456998,1.40322906532564,-0.0750430156202587,0.590971402859096,-1.84434765891106,1.16076040180384,0.126110738086621,0.300466476800096,-0.247842101190383,0.623485034472522,-0.0827706692137166,-0.145010799233295,-0.534715404197033,1.25759714435423,1.13004584901095,0.135877783307105,0.563530938027285,-0.356364391760595,0.045356849525185,-0.919549650256227,-1.41090826961291,0.663281156169387,0.673718445303364,-2.07712073059618,0.651758540802134,-2.84624741848567,0.702528435396701,0.809915840320365,-1.46645094229675,0.484017820769419,-0.00568379812460637,1.10715484836645,-0.234844058253809,1.18977637535032
"HALLMARK_UV_RESPONSE_UP",-0.561222617875846,-1.49918760287371,-0.445509485339149,-0.452461184422274,0.581434255641305,-2.28143391303122,-1.85211140066867,0.351594197146989,-1.07980648595068,0.534491423103453,1.86119583149511,-0.688112342095075,1.02800376853534,-0.125902983178648,-1.2252994568299,-0.138827791065984,0.649009986692263,0.580566498141947,0.686879470998419,0.812920988698244,0.553046850301883,0.542175424721352,0.727284632945157,-0.457628900513447,-0.968359731757583,0.530338932089187,0.38980516755695,-1.64861936735956,-1.4482951574125,0.593423324647538,0.615714690496529,-1.24397462546937,1.72245579543534,-0.163025966541094,0.210671805565046,-0.26230685779934,0.548502599176321,0.976801375467191,-0.0629276248696664,0.643812867235606,2.03773231507815,-0.572848706115511
"MP12_EMT_I",-1.06947522698733,-1.20558415774777,-0.48854427718728,-0.221396312819952,-0.572896862332228,-1.2777797670462,0.845355801441512,0.716026696524261,-0.0657092555373985,-0.376643457872743,0.35798088745517,0.449828697717497,-0.0918298211307807,0.979361851585877,1.54104924994844,-1.35363591036679,-1.9615512837021,2.46853606961481,0.819891386007476,-0.300924114254733,-0.978901719479015,0.255071687685057,-0.640096873150937,-0.560346817088098,-0.42429863700478,-0.313682600322099,-0.94144056144656,-0.190290665728275,-1.14468906143447,0.412077560540521,0.289591403835172,-0.432717982774021,1.13188275545131,-1.10717199689886,0.889035688148262,0.586134076141072,-0.414963293708601,-0.178024981141813,-0.394655246402059,1.20231092778595,2.70175824791059,1.06135789577191
"MP13_EMT_II",-0.540042855773672,-1.58104899171408,-1.08854913199743,0.753056140115578,-0.346464358142471,-1.77532913092042,1.93270691029352,-0.746055468435893,-0.977273136802451,1.59661741379387,1.77554091811812,0.345136816573194,-1.85706526628547,-0.0201336045079223,-1.44907137886081,-0.378332096508792,-0.468644862757972,0.193743492619186,0.0314257993387234,0.58749436371675,0.176449230755987,1.37827962310699,1.22166521981122,-0.521609613738461,0.50719170104493,-0.131756766322596,-0.315220147903733,-0.663476896453799,-1.43828231638964,1.17503408313415,1.17938416387803,0.39286899299608,0.327425243096204,-1.49967312304977,0.275504860386763,-0.00951191922982691,-0.452679902849526,-0.775761560034192,0.388311732007224,1.20325707282725,0.474942836218706,1.11994591484645
"MP14_EMT_III",0.0219781982994357,-1.47370675744266,-1.03900278898477,-0.0805227735606403,0.733286810406395,-0.48761593559026,1.96816742424045,-1.76282929813455,-2.7588788617579,0.940964484140053,2.16684155745319,0.442332859504828,-0.777758827488698,-1.03047071028198,-1.49144301501705,-0.605289363373307,-0.515391695464254,0.14667202516792,0.0127248494401217,0.49523670610703,1.55455815716779,-0.0187374131152021,0.933779508001055,-0.949750030658793,0.146428881876602,-0.208339832465733,-0.0554726310440823,-0.780701651760747,-1.3260677053069,0.30977348113192,0.204635780191876,0.759317107100251,0.213669142953208,-0.231234845739709,0.571354533894,0.113468627958032,-0.000935983905914873,0.378474877103758,0.395823569418861,1.23245520811112,1.42272666893051,0.429479662494758
"MP15_EMT_IV",0.324123648892966,-2.22495609442773,-0.0556113299995297,-0.210776618429863,-2.38388462160046,-2.15088380764467,0.757864915074578,0.395637541477182,-0.761392763272387,1.44470957431646,-0.482321463876154,1.02970643368902,0.0224830428803419,1.58115103547538,0.0707093369177828,0.50920798314559,0.0760728707858684,0.795128571948985,0.165088261681473,0.675429209798966,-0.498745212088631,0.785484060314455,-0.326043514868942,1.63042791950847,0.866376659744204,0.73208074852045,0.414045686918969,0.459691035612294,-0.0680759245511018,-1.24804976417953,-1.2427124777139,-1.33153769823991,1.38957343971979,-0.819577692084546,0.036159350027429,-0.028597374044456,-0.327234813734456,1.0837924875299,0.185092391815071,0.562336412096007,-0.239023797713239,-1.5929476494221
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-1.16850702584906,-1.30945671712995,-1.05006796582032,-0.00170940119736501,-0.805112161083255,-1.67462066394476,1.18351849905176,-0.693934511544046,-1.18664084165186,0.953242109814951,0.833680130791227,0.413491408935649,-1.52401301709794,1.20737989241633,-0.247504693486164,-0.181681653181105,-0.335271541008003,0.900712578920116,0.0412992970083139,0.0859928974194615,-0.311913081982299,1.42441998745777,1.33647616134252,-0.227513902118481,-0.0180137466112381,-0.0489674089607698,-0.198646606678449,-1.03768218242072,-1.79956618343969,0.860871706495613,0.908480518442223,-0.160190126551854,0.0177535129407399,-2.07143014621107,1.17401992803446,1.13186365771718,-0.45594533559181,0.206876594146596,-0.329351264926706,1.52175048536038,0.828538794226115,1.80737201796557
"MP22_Secreted_I",-0.292031059405577,-1.47950159089429,-1.53760100850664,-0.712093542505302,0.0484922791905198,-2.29925226490604,0.078297273774295,-0.745423863832995,-1.68761896965122,1.17288131293682,1.72766396912339,0.90204949756606,-1.30175229959617,-0.0346463948217788,-1.75045382796655,0.58223431941984,0.91463061686105,-0.0624305502139724,-0.21598683256542,0.119823400108338,0.710983145231208,0.662714082435216,1.05388718294742,-0.5967541659922,-0.316556347020539,0.214776359826851,1.41123109919558,-1.0705296594846,-1.15222587039879,0.368670626112992,0.473741721952036,1.05266009510892,0.508629654498654,-0.558597467146445,1.8196099880971,1.10134715921536,-0.95379651647237,0.961771957645835,-0.254309697772164,0.280604213007517,0.58799660694385,0.26686536795424
"MP23_Secreted_II",-0.706138453877628,-1.439633955364,-1.16597882130963,-0.635989208524886,-0.85058028017987,-1.53797422311318,-0.379873566729108,-1.09051438506631,-1.29604345384781,1.49432300056611,2.08799199836637,1.27921630475377,-0.341907950459292,-1.06984058758527,-1.34325253166974,0.541477649172331,0.694174878915916,0.90203321302076,0.911031168230054,1.17238652389421,1.39490188665856,0.713714782662203,0.432313080163056,0.633129897271494,1.06486280264409,0.214447775804716,0.128999729095104,0.00706296316601706,0.20241947095685,-0.016445734901036,-0.0821664154744429,0.431251929113125,-0.319274389696514,1.21545953142708,-0.0133993117066858,-0.349537122953733,0.0797966530383047,0.22406632580101,-0.704371805426817,0.118120764768053,0.335745401134277,-2.93600553273747
"MP38_Glutathione",1.29418125601218,1.3904165306271,1.13977150869045,0.893959237448074,-0.982252859017747,1.21906930686492,-1.30584950237652,0.770266479079105,0.981638754664431,-0.165633673268246,-0.520116718363672,-0.667469358263715,-0.0597940006587343,-1.33365798546855,1.28718398887188,-0.632416980089679,-0.594795930484099,0.0432152071091339,0.173042147664028,0.148003010305689,-1.27011412454519,-0.819518185426429,-1.29658907657972,1.02880158978475,1.13266280083072,0.881663681043993,1.01928830737469,0.894872021446377,1.00780744022342,-0.613188867563453,-0.677407536767062,-0.630223555456778,-0.9535138398946,0.583070140456875,-1.43721801949754,-1.50022667414101,0.977185716294186,0.894085860492819,0.822276012621639,-0.39663341569461,-0.482550577349989,-2.24329011699913
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.406016521835964,-0.403891693515339,-0.768101077073814,0.00430858603989967,-0.480716936569911,-0.122346459088723,0.636382674170452,0.31270281635787,-0.0739829157040014,1.97031074996355,1.34177012925752,1.54941095429644,-0.827407249038994,-1.62384544949979,-0.706849939021446,0.287582119982347,0.255478368538606,0.580625297178777,0.607920830840864,1.32073142291519,2.35942139793873,0.502969800381164,0.239737855130571,0.379685568342941,1.03424911226649,-0.289338722512665,0.452590882223964,-0.440296021047683,-0.972385228704705,-1.61071744821108,-1.59396933341603,-1.88082130312703,0.126094135534211,-1.57841025832826,-0.152378072111867,-0.73255896544121,0.277996297999209,1.00710507912799,0.0745299985082618,0.0151239714308012,0.345306860372013,-1.83003435822137
